tahun,kode_provinsi,nama_provinsi,luas_panen,produktivitas,produksi,latitude,longitude
1993,1100,Prov. Nanggroe Aceh Darussalam,16756,11.37,19056,5.55,95.31667
1993,1200,Prov. Sumatera Utara,24607,10.08,24801,3.583333,98.66666
1993,1300,Prov. Sumatera Barat,7229,9.54,6894,-0.95,100.3531
1993,1400,Prov. Riau,3656,10.39,3799,0.4816667,101.4686
1993,1500,Prov. Jambi,3131,10.88,3405,-1.589167,103.61
1993,1600,Prov. Sumatera Selatan,18199,10.36,18854,-2.990833,104.7567
1993,1700,Prov. Bengkulu,8770,9.8,8594,-3.795556,102.2592
1993,1800,Prov. Lampung,10820,11.2,12123,-5.429722,105.2625
1993,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1993,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1993,3100,Prov. DKI Jakarta,27,10.37,28,-6.183333,106.8333
1993,3200,Prov. Jawa Barat,89306,10.95,97780,-6.914722,107.6097
1993,3300,Prov. Jawa Tengah,113920,10.33,117692,-6.966667,110.4167
1993,3400,Prov. D I Yogyakarta,36106,8.52,30762,-7.801389,110.3644
1993,3500,Prov. Jawa Timur,156080,10.18,158958,-7.266667,112.7167
1993,3600,Prov. Banten,0,0,0,-6.12,106.1503
1993,5100,Prov. Bali,11870,11.74,13936,-8.65,115.2167
1993,5200,Prov. Nusa Tenggara Barat,19920,11.12,22153,-8.583333,116.1167
1993,5300,Prov. Nusa Tenggara Timur,7424,8.46,6284,-10.18333,123.5833
1993,6100,Prov. Kalimantan Barat,2388,7.81,1865,-0.0166667,109.3333
1993,6200,Prov. Kalimantan Tengah,994,11.12,1105,-2.21,113.92
1993,6300,Prov. Kalimantan Selatan,14311,8.85,12671,-3.314444,114.5925
1993,6400,Prov. Kalimantan Timur,3406,9.78,3330,-0.5022222,117.1536
1993,7100,Prov. Sulawesi Utara,4932,9.51,4690,1.493056,124.8414
1993,7200,Prov. Sulawesi Tengah,5029,8.53,4289,-0.9,119.8333
1993,7300,Prov. Sulawesi Selatan,48387,10.13,49036,-5.133333,119.4167
1993,7400,Prov. Sulawesi Tenggara,5255,8.84,4645,-3.9675,122.5947
1993,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1993,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1993,8100,Prov. Maluku,5037,11.27,5677,-3.7,128.1667
1993,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1993,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1993,9400,Prov. Papua,3528,9.37,3304,-2.533056,140.7169
1994,1100,Prov. Nanggroe Aceh Darussalam,18939,12.34,23380,5.55,95.31667
1994,1200,Prov. Sumatera Utara,27556,10.21,28134,3.583333,98.66666
1994,1300,Prov. Sumatera Barat,9649,9.87,9523,-0.95,100.3531
1994,1400,Prov. Riau,5030,9.06,4556,0.4816667,101.4686
1994,1500,Prov. Jambi,3270,8.13,2658,-1.589167,103.61
1994,1600,Prov. Sumatera Selatan,10490,9.84,10322,-2.990833,104.7567
1994,1700,Prov. Bengkulu,8002,8.57,6861,-3.795556,102.2592
1994,1800,Prov. Lampung,9801,10.5,10294,-5.429722,105.2625
1994,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1994,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1994,3100,Prov. DKI Jakarta,7,10,7,-6.183333,106.8333
1994,3200,Prov. Jawa Barat,89327,11,98286,-6.914722,107.6097
1994,3300,Prov. Jawa Tengah,111738,10.08,112658,-6.966667,110.4167
1994,3400,Prov. D I Yogyakarta,46224,8.03,37118,-7.801389,110.3644
1994,3500,Prov. Jawa Timur,148737,9.37,139405,-7.266667,112.7167
1994,3600,Prov. Banten,0,0,0,-6.12,106.1503
1994,5100,Prov. Bali,13515,10.58,14300,-8.65,115.2167
1994,5200,Prov. Nusa Tenggara Barat,22553,10.68,24077,-8.583333,116.1167
1994,5300,Prov. Nusa Tenggara Timur,9805,6.3,6180,-10.18333,123.5833
1994,6100,Prov. Kalimantan Barat,2549,8.71,2219,-0.0166667,109.3333
1994,6200,Prov. Kalimantan Tengah,1070,9.36,1001,-2.21,113.92
1994,6300,Prov. Kalimantan Selatan,14529,9.36,13595,-3.314444,114.5925
1994,6400,Prov. Kalimantan Timur,3321,8.74,2903,-0.5022222,117.1536
1994,7100,Prov. Sulawesi Utara,7611,9.85,7494,1.493056,124.8414
1994,7200,Prov. Sulawesi Tengah,7781,8.41,6547,-0.9,119.8333
1994,7300,Prov. Sulawesi Selatan,54031,9.86,53249,-5.133333,119.4167
1994,7400,Prov. Sulawesi Tenggara,5699,9.42,5370,-3.9675,122.5947
1994,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1994,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1994,8100,Prov. Maluku,3832,11.09,4250,-3.7,128.1667
1994,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1994,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1994,9400,Prov. Papua,3225,9.24,2980,-2.533056,140.7169
1995,1100,Prov. Nanggroe Aceh Darussalam,30601,10.63,32517,5.55,95.31667
1995,1200,Prov. Sumatera Utara,31751,10.11,32115,3.583333,98.66666
1995,1300,Prov. Sumatera Barat,10315,9.54,9842,-0.95,100.3531
1995,1400,Prov. Riau,4579,9.51,4354,0.4816667,101.4686
1995,1500,Prov. Jambi,3673,11.03,4053,-1.589167,103.61
1995,1600,Prov. Sumatera Selatan,15176,11.79,17897,-2.990833,104.7567
1995,1700,Prov. Bengkulu,9616,9.28,8920,-3.795556,102.2592
1995,1800,Prov. Lampung,16947,12.08,20470,-5.429722,105.2625
1995,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1995,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1995,3100,Prov. DKI Jakarta,8,10,8,-6.183333,106.8333
1995,3200,Prov. Jawa Barat,105145,11.17,117408,-6.914722,107.6097
1995,3300,Prov. Jawa Tengah,129970,10.53,136847,-6.966667,110.4167
1995,3400,Prov. D I Yogyakarta,42384,8.46,35869,-7.801389,110.3644
1995,3500,Prov. Jawa Timur,150585,9.64,145104,-7.266667,112.7167
1995,3600,Prov. Banten,0,0,0,-6.12,106.1503
1995,5100,Prov. Bali,14263,10.86,15490,-8.65,115.2167
1995,5200,Prov. Nusa Tenggara Barat,24540,10.48,25709,-8.583333,116.1167
1995,5300,Prov. Nusa Tenggara Timur,10543,8.48,8938,-10.18333,123.5833
1995,6100,Prov. Kalimantan Barat,2629,8.35,2196,-0.0166667,109.3333
1995,6200,Prov. Kalimantan Tengah,1367,11.61,1587,-2.21,113.92
1995,6300,Prov. Kalimantan Selatan,19254,10.42,20069,-3.314444,114.5925
1995,6400,Prov. Kalimantan Timur,4627,9.01,4169,-0.5022222,117.1536
1995,7100,Prov. Sulawesi Utara,8045,9.95,8004,1.493056,124.8414
1995,7200,Prov. Sulawesi Tengah,7590,8.49,6444,-0.9,119.8333
1995,7300,Prov. Sulawesi Selatan,77837,11.08,86258,-5.133333,119.4167
1995,7400,Prov. Sulawesi Tenggara,5843,6.72,3927,-3.9675,122.5947
1995,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1995,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1995,8100,Prov. Maluku,3838,11.53,4425,-3.7,128.1667
1995,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1995,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1995,9400,Prov. Papua,4334,8.58,3717,-2.533056,140.7169
1996,1100,Prov. Nanggroe Aceh Darussalam,19704,11.49,22639,5.55,95.31667
1996,1200,Prov. Sumatera Utara,29465,10.29,30330,3.583333,98.66666
1996,1300,Prov. Sumatera Barat,10028,10.67,10702,-0.95,100.3531
1996,1400,Prov. Riau,4127,9.26,3820,0.4816667,101.4686
1996,1500,Prov. Jambi,3021,11.26,3403,-1.589167,103.61
1996,1600,Prov. Sumatera Selatan,14922,11.68,17435,-2.990833,104.7567
1996,1700,Prov. Bengkulu,9221,9.48,8740,-3.795556,102.2592
1996,1800,Prov. Lampung,14524,11.23,16314,-5.429722,105.2625
1996,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1996,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1996,3100,Prov. DKI Jakarta,12,10,12,-6.183333,106.8333
1996,3200,Prov. Jawa Barat,93055,11.4,106128,-6.914722,107.6097
1996,3300,Prov. Jawa Tengah,125226,10.7,133943,-6.966667,110.4167
1996,3400,Prov. D I Yogyakarta,52133,9.37,48866,-7.801389,110.3644
1996,3500,Prov. Jawa Timur,151191,10.68,161448,-7.266667,112.7167
1996,3600,Prov. Banten,0,0,0,-6.12,106.1503
1996,5100,Prov. Bali,14016,11.36,15923,-8.65,115.2167
1996,5200,Prov. Nusa Tenggara Barat,24722,10.62,26257,-8.583333,116.1167
1996,5300,Prov. Nusa Tenggara Timur,10914,9.31,10164,-10.18333,123.5833
1996,6100,Prov. Kalimantan Barat,2471,9.04,2235,-0.0166667,109.3333
1996,6200,Prov. Kalimantan Tengah,1371,9.03,1238,-2.21,113.92
1996,6300,Prov. Kalimantan Selatan,18620,10.97,20426,-3.314444,114.5925
1996,6400,Prov. Kalimantan Timur,3326,9.82,3265,-0.5022222,117.1536
1996,7100,Prov. Sulawesi Utara,10318,10.94,11285,1.493056,124.8414
1996,7200,Prov. Sulawesi Tengah,6642,9.56,6351,-0.9,119.8333
1996,7300,Prov. Sulawesi Selatan,54231,11.61,62977,-5.133333,119.4167
1996,7400,Prov. Sulawesi Tenggara,5992,7.22,4325,-3.9675,122.5947
1996,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1996,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1996,8100,Prov. Maluku,2697,11.26,3037,-3.7,128.1667
1996,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1996,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1996,9400,Prov. Papua,3756,8.56,3217,-2.533056,140.7169
1997,1100,Prov. Nanggroe Aceh Darussalam,16936,11.98,20288,5.55,95.31667
1997,1200,Prov. Sumatera Utara,30191,10.33,31188,3.583333,98.66666
1997,1300,Prov. Sumatera Barat,9331,10.74,10021,-0.95,100.3531
1997,1400,Prov. Riau,3246,9.69,3144,0.4816667,101.4686
1997,1500,Prov. Jambi,2182,11.32,2469,-1.589167,103.61
1997,1600,Prov. Sumatera Selatan,11351,11.13,12630,-2.990833,104.7567
1997,1700,Prov. Bengkulu,9522,9.68,9215,-3.795556,102.2592
1997,1800,Prov. Lampung,8542,11.78,10061,-5.429722,105.2625
1997,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1997,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1997,3100,Prov. DKI Jakarta,6,10,6,-6.183333,106.8333
1997,3200,Prov. Jawa Barat,86289,11.66,100626,-6.914722,107.6097
1997,3300,Prov. Jawa Tengah,118290,11.22,132751,-6.966667,110.4167
1997,3400,Prov. D I Yogyakarta,48647,9.97,48520,-7.801389,110.3644
1997,3500,Prov. Jawa Timur,147095,10.78,158626,-7.266667,112.7167
1997,3600,Prov. Banten,0,0,0,-6.12,106.1503
1997,5100,Prov. Bali,15510,12.28,19052,-8.65,115.2167
1997,5200,Prov. Nusa Tenggara Barat,23327,10.88,25376,-8.583333,116.1167
1997,5300,Prov. Nusa Tenggara Timur,10685,9.41,10054,-10.18333,123.5833
1997,6100,Prov. Kalimantan Barat,2262,9.23,2087,-0.0166667,109.3333
1997,6200,Prov. Kalimantan Tengah,1807,9.3,1680,-2.21,113.92
1997,6300,Prov. Kalimantan Selatan,17210,11.13,19162,-3.314444,114.5925
1997,6400,Prov. Kalimantan Timur,2607,10.59,2761,-0.5022222,117.1536
1997,7100,Prov. Sulawesi Utara,7254,10.49,7608,1.493056,124.8414
1997,7200,Prov. Sulawesi Tengah,5602,9.94,5569,-0.9,119.8333
1997,7300,Prov. Sulawesi Selatan,34914,11.82,41256,-5.133333,119.4167
1997,7400,Prov. Sulawesi Tenggara,5861,8.01,4697,-3.9675,122.5947
1997,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1997,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1997,8100,Prov. Maluku,2717,11.06,3005,-3.7,128.1667
1997,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1997,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1997,9400,Prov. Papua,3506,9.1,3191,-2.533056,140.7169
1998,1100,Prov. Nanggroe Aceh Darussalam,8091,11.76,9513,5.55,95.31667
1998,1200,Prov. Sumatera Utara,24907,10.45,26037,3.583333,98.66666
1998,1300,Prov. Sumatera Barat,8364,10.53,8804,-0.95,100.3531
1998,1400,Prov. Riau,4656,9.38,4366,0.4816667,101.4686
1998,1500,Prov. Jambi,4514,10.51,4742,-1.589167,103.61
1998,1600,Prov. Sumatera Selatan,8489,11.1,9424,-2.990833,104.7567
1998,1700,Prov. Bengkulu,8147,9.6,7824,-3.795556,102.2592
1998,1800,Prov. Lampung,12390,10.5,13007,-5.429722,105.2625
1998,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1998,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1998,3100,Prov. DKI Jakarta,19,10,19,-6.183333,106.8333
1998,3200,Prov. Jawa Barat,92715,11.23,104141,-6.914722,107.6097
1998,3300,Prov. Jawa Tengah,133617,10.91,145830,-6.966667,110.4167
1998,3400,Prov. D I Yogyakarta,49354,8.78,43357,-7.801389,110.3644
1998,3500,Prov. Jawa Timur,147427,10.36,152716,-7.266667,112.7167
1998,3600,Prov. Banten,0,0,0,-6.12,106.1503
1998,5100,Prov. Bali,15954,12.8,20414,-8.65,115.2167
1998,5200,Prov. Nusa Tenggara Barat,22175,10.8,23941,-8.583333,116.1167
1998,5300,Prov. Nusa Tenggara Timur,9980,9.82,9797,-10.18333,123.5833
1998,6100,Prov. Kalimantan Barat,1701,9.32,1586,-0.0166667,109.3333
1998,6200,Prov. Kalimantan Tengah,2035,10.06,2048,-2.21,113.92
1998,6300,Prov. Kalimantan Selatan,18145,11.54,20943,-3.314444,114.5925
1998,6400,Prov. Kalimantan Timur,2546,10.32,2627,-0.5022222,117.1536
1998,7100,Prov. Sulawesi Utara,5607,11.07,6209,1.493056,124.8414
1998,7200,Prov. Sulawesi Tengah,4005,10.02,4013,-0.9,119.8333
1998,7300,Prov. Sulawesi Selatan,46802,11.51,53847,-5.133333,119.4167
1998,7400,Prov. Sulawesi Tenggara,8647,7.64,6605,-3.9675,122.5947
1998,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1998,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1998,8100,Prov. Maluku,2117,10.63,2251,-3.7,128.1667
1998,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1998,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1998,9400,Prov. Papua,4064,8.92,3627,-2.533056,140.7169
1999,1100,Prov. Nanggroe Aceh Darussalam,9131,12.18,11124,5.55,95.31667
1999,1200,Prov. Sumatera Utara,22297,9.86,21986,3.583333,98.66666
1999,1300,Prov. Sumatera Barat,8130,11.08,9005,-0.95,100.3531
1999,1400,Prov. Riau,4737,8.63,4089,0.4816667,101.4686
1999,1500,Prov. Jambi,3614,9.83,3554,-1.589167,103.61
1999,1600,Prov. Sumatera Selatan,12338,11.15,13756,-2.990833,104.7567
1999,1700,Prov. Bengkulu,6216,9.9,6156,-3.795556,102.2592
1999,1800,Prov. Lampung,6956,10.73,7467,-5.429722,105.2625
1999,1900,Prov. Kepulauan Bangka Belitung,0,0,0,-2.1,106.1
1999,2100,Prov. Kepulauan Riau,0,0,0,1.083333,104.4833
1999,3100,Prov. DKI Jakarta,22,10,22,-6.183333,106.8333
1999,3200,Prov. Jawa Barat,88117,11.2,98661,-6.914722,107.6097
1999,3300,Prov. Jawa Tengah,126409,10.72,135522,-6.966667,110.4167
1999,3400,Prov. D I Yogyakarta,48814,9.64,47066,-7.801389,110.3644
1999,3500,Prov. Jawa Timur,159504,10.21,162885,-7.266667,112.7167
1999,3600,Prov. Banten,0,0,0,-6.12,106.1503
1999,5100,Prov. Bali,13873,11.83,16416,-8.65,115.2167
1999,5200,Prov. Nusa Tenggara Barat,21880,10.83,23690,-8.583333,116.1167
1999,5300,Prov. Nusa Tenggara Timur,12220,9.7,11848,-10.18333,123.5833
1999,6100,Prov. Kalimantan Barat,1745,9.41,1642,-0.0166667,109.3333
1999,6200,Prov. Kalimantan Tengah,2069,10.86,2246,-2.21,113.92
1999,6300,Prov. Kalimantan Selatan,15127,11.36,17180,-3.314444,114.5925
1999,6400,Prov. Kalimantan Timur,3635,9.78,3556,-0.5022222,117.1536
1999,7100,Prov. Sulawesi Utara,6416,10.31,6617,1.493056,124.8414
1999,7200,Prov. Sulawesi Tengah,6891,11.19,7710,-0.9,119.8333
1999,7300,Prov. Sulawesi Selatan,28913,11.64,33647,-5.133333,119.4167
1999,7400,Prov. Sulawesi Tenggara,8909,7.74,6897,-3.9675,122.5947
1999,7500,Prov. Gorontalo,0,0,0,0.5333334,123.0667
1999,7600,Prov. Sulawesi Barat,0,0,0,-2.668611,118.8622
1999,8100,Prov. Maluku,3220,10.84,3491,-3.7,128.1667
1999,8200,Prov. Maluku Utara,0,0,0,0.7833334,127.3667
1999,9100,Prov. Papua Barat,0,0,0,-0.8666667,134.0833
1999,9400,Prov. Papua,3797,8.83,3353,-2.533056,140.7169
2000,1100,Prov. Nanggroe Aceh Darussalam,7453,12.32,9179,5.55,95.31667
2000,1200,Prov. Sumatera Utara,22799,10.48,23901,3.583333,98.66666
